team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty,pen_goals,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Manchester United,28,5,83,60,1,132,60,21,12,5,1,72,11,9,80,16,27,2,81,254,890,1,1222,,1,4,1,18723,,2397,,918,258,25686,,1,,2,37,25,2006-2007
Manchester United,27,5,80,51,2,230,195,16,12,6,6,64,16,7,100,21,22,2,96,446,978,2,2022,1140,0,12,9,17422,90,2417,,936,261,26620,,10,627,0,47,23,2007-2008
Manchester United,28,4,68,61,5,357,258,9,7,4,4,56,12,12,99,24,24,,120,640,741,8,1322,716,1,8,6,19416,291,2192,,1039,257,30077,,3,579,0,56,22,2008-2009
Manchester United,27,6,103,54,5,458,288,13,16,11,3,94,9,8,96,18,32,0,103,705,772,10,1055,560,1,11,4,18852,268,2071,,1083,286,28914,,3,503,1,87,30,2009-2010
Manchester United,23,4,78,56,3,500,300,15,18,3,1,71,7,5,102,15,37,0,107,646,693,17,1053,634,1,10,4,18870,212,2279,2411,1005,243,26671,50,2,471,0,45,16,2010-2011
Manchester United,28,5,93,51,5,550,350,21,10,7,1,73,20,6,85,17,29,1,111,631,694,6,930,525,2,12,4,20863,321,1734,2937,843,269,28620,65,6,480,1,39,21,2011-2012
Manchester United,28,5,86,57,1,580,380,24,14,4,1,77,9,2,96,13,43,1,143,514,731,4,1319,848,4,10,7,19696,103,1973,2727,962,218,27264,65,5,506,0,38,28,2012-2013
Manchester United,27,6,102,72,1,800,450,19,10,6,5,86,16,5,59,16,37,88,61,496,756,8,938,531,2,7,7,20761,120,1791,3195,892,283,28341,59,0,411,0,64,31,2013-2014
Manchester United,26,3,73,73,4,750,470,15,10,4,1,66,7,1,75,17,32,90,102,376,759,2,1027,611,1,13,4,20268,73,2276,3259,682,226,27861,40,2,476,0,73,13,2014-2015
Manchester United,23,3,68,48,3,670,500,11,11,10,0,65,3,6,50,15,36,99,166,819,869,0,1040,552,0,8,5,13370,54,2695,1970,762,197,21710,61,7,366,0,49,22,2015-2016
Manchester United,30,5,85,72,0,780,560,17,8,2,3,73,12,7,64,16,33,69,78,510,652,0,839,500,1,15,12,20125,103,2399,2967,688,218,27658,32,3,436,0,38,18,2016-2017
Manchester United,32,2,106,59,2,900,600,23,12,6,1,93,13,4,67,18,27,62,53,346,563,3,588,308,2,12,9,28241,118,1775,4546,691,284,35130,63,4,406,2,21,15,2017-2018
